,Name,N,M,K,Best.Obj,Avg.Obj,Avg.Time
121,Golden_19,41,361,5,797,801.125,11.9361
122,Golden_15,40,397,4,856,860.25,11.9021
123,Golden_20,39,421,5,1059,1063.875,11.0636
124,Golden_1,27,241,4,5021,5038.75,6.5835
125,Golden_5,23,201,4,7688,7749.375,4.3433
126,Golden_16,33,481,5,1030,1031.5,8.979
127,Golden_4,41,481,4,13639,13751.375,16.9704
128,Golden_18,28,301,4,579,581.875,6.2328
129,Golden_8,30,441,4,10927,10975.5,8.1513
130,Golden_6,57,281,4,9068,9195.375,32.3939
131,Golden_14,22,321,4,695,698.25,3.8696
132,Golden_15,37,397,4,852,856.5,12.6291
133,Golden_15,67,397,5,868,872.875,45.0309
134,Golden_19,46,361,5,796,799.0,16.0308
135,Golden_9,26,256,4,290,293.0,4.441
136,Golden_7,61,361,4,10343,10458.5,46.5166
137,Golden_10,25,324,4,359,361.375,4.4404
138,Golden_8,41,441,4,11053,11086.375,14.2285
139,Golden_15,29,397,4,846,847.75,6.0289
140,Golden_12,41,484,5,542,547.25,14.3721
141,Golden_3,81,401,4,10787,10839.875,85.2345
142,Golden_17,35,241,4,420,423.5,11.1329
143,Golden_20,85,421,5,1068,1083.5,79.8592
144,Golden_14,36,321,4,691,695.75,11.7546
145,Golden_12,35,484,5,537,542.625,11.6729
146,Golden_2,22,321,4,7758,7810.125,3.652
147,Golden_12,97,484,5,562,569.125,117.4459
148,Golden_19,33,361,4,800,805.5,7.3463
149,Golden_20,33,421,12,1210,1219.625,9.8815
150,Golden_2,33,321,4,7708,7739.375,7.3447
151,Golden_5,21,201,4,7600,7694.75,2.9883
152,Golden_5,17,201,3,7568,7572.0,2.4299
153,Golden_3,27,401,4,10559,10638.875,6.0966
154,Golden_2,46,321,4,7982,8068.75,18.5794
155,Golden_4,35,481,4,13714,13833.0,9.1548
156,Golden_18,24,301,4,593,595.25,4.3727
157,Golden_1,18,241,4,4960,4989.125,2.7789
158,Golden_14,25,321,4,681,683.0,4.4451
159,Golden_17,27,241,3,414,415.0,5.6633
160,Golden_12,61,484,5,545,548.875,37.1179
161,Golden_11,58,400,5,465,469.125,30.4789
162,Golden_11,37,400,5,467,469.125,10.5466
163,Golden_12,81,484,5,550,557.625,61.3214
164,Golden_16,54,481,5,1029,1035.0,29.184
165,Golden_18,34,301,4,585,587.75,8.6938
166,Golden_5,41,201,4,7341,7385.125,12.4961
167,Golden_15,27,397,4,844,847.5,5.5609
168,Golden_9,43,256,4,300,302.875,14.2799
169,Golden_15,50,397,5,855,863.25,22.8158
170,Golden_16,37,481,5,1033,1034.625,12.5161
171,Golden_18,61,301,4,609,612.5,37.8156
172,Golden_12,44,484,5,541,545.625,18.2359
173,Golden_8,89,441,4,11713,11781.875,107.2643
174,Golden_16,35,481,5,1031,1033.0,9.7139
175,Golden_6,32,281,4,9058,9145.125,8.0883
176,Golden_8,37,441,4,10939,10997.5,12.8637
177,Golden_3,45,401,4,10617,10676.0,17.6642
178,Golden_17,41,241,4,414,419.5,14.8054
179,Golden_5,34,201,4,7429,7486.5,9.9296
180,Golden_11,31,400,5,459,461.0,8.4051
181,Golden_9,20,256,4,296,296.5,3.3646
182,Golden_19,61,361,5,815,817.875,30.1852
183,Golden_15,80,397,5,870,879.75,56.8514
184,Golden_16,81,481,5,1038,1044.25,60.6374
185,Golden_4,54,481,4,14094,14211.875,25.3855
