,Name,N,M,K,LowerBound,Time,Eps_1,Eps_2
122,Golden_12,33,484,5,529,41.18,646,76
123,Golden_12,35,484,5,530,260.65,684,84
124,Golden_12,38,484,5,529,299.69,652,93
125,Golden_12,41,484,5,529,553.97,654,102
126,Golden_12,44,484,5,526,876.48,693,105
127,Golden_12,49,484,5,524,1000.69,756,108
128,Golden_12,54,484,5,524,1000.77,825,117
129,Golden_12,61,484,5,525,1001.01,915,123
130,Golden_12,70,484,5,524,1000.98,1030,130
131,Golden_12,81,484,5,521,1001.25,1097,151
132,Golden_12,97,484,5,526,388.37,886,172
133,Golden_13,17,253,4,545,0.32,510,48
134,Golden_13,19,253,4,540,0.86,468,54
135,Golden_13,20,253,4,538,1.34,489,57
136,Golden_13,22,253,4,540,0.99,500,58
137,Golden_13,23,253,4,540,1.35,518,59
138,Golden_13,26,253,4,534,1.59,574,64
139,Golden_13,29,253,4,533,1.86,631,70
140,Golden_13,32,253,4,537,1.13,682,70
141,Golden_13,37,253,4,539,4.20,650,76
142,Golden_13,43,253,4,547,2.32,697,86
143,Golden_13,51,253,4,552,5.16,691,86
144,Golden_14,22,321,4,685,0.65,600,54
145,Golden_14,23,321,4,680,1.07,595,55
146,Golden_14,25,321,4,672,0.84,579,57
147,Golden_14,27,321,4,669,1.01,619,61
148,Golden_14,30,321,4,671,0.98,715,69
149,Golden_14,33,321,4,674,0.86,711,82
150,Golden_14,36,321,4,678,5.37,728,88
151,Golden_14,41,321,4,680,4.16,816,96
152,Golden_14,46,321,4,687,4.29,899,99
153,Golden_14,54,321,4,695,11.49,924,112
154,Golden_14,65,321,4,698,11.03,871,112
155,Golden_15,27,397,4,834,2.19,719,68
156,Golden_15,29,397,4,834,3.32,700,73
157,Golden_15,31,397,4,830,1.16,777,77
158,Golden_15,34,397,4,832,1.58,768,84
159,Golden_15,37,397,4,839,5.11,826,88
160,Golden_15,40,397,4,839,2.95,891,99
161,Golden_15,45,397,5,842,203.50,907,107
162,Golden_15,50,397,5,840,1000.49,932,107
163,Golden_15,57,397,5,836,7.86,1041,111
164,Golden_15,67,397,5,838,289.89,1131,123
165,Golden_15,80,397,5,840,14.55,1145,125
166,Golden_16,33,481,5,1014,3.34,920,84
167,Golden_16,35,481,5,1012,10.85,891,91
168,Golden_16,37,481,5,1014,2.75,895,97
169,Golden_16,41,481,5,1018,10.16,934,106
170,Golden_16,44,481,5,1017,5.94,989,107
171,Golden_16,49,481,5,1020,36.89,978,114
172,Golden_16,54,481,5,1011,11.09,1061,117
173,Golden_16,61,481,5,1005,41.67,1178,122
174,Golden_16,69,481,5,1003,13.15,1309,125
175,Golden_16,81,481,5,1008,37.87,1349,145
176,Golden_16,97,481,5,1010,75.79,1274,152
177,Golden_17,17,241,3,404,0.56,430,50
178,Golden_17,18,241,3,405,0.73,388,52
179,Golden_17,19,241,3,407,0.53,404,52
180,Golden_17,21,241,3,412,0.60,439,55
181,Golden_17,22,241,3,413,0.74,431,56
182,Golden_17,25,241,3,407,1.11,450,58
183,Golden_17,27,241,3,405,1.81,452,62
184,Golden_17,31,241,4,411,2.60,455,70
185,Golden_17,35,241,4,407,3.07,501,72
186,Golden_17,41,241,4,403,3.15,564,69
187,Golden_17,49,241,4,399,5.29,649,66
188,Golden_18,21,301,4,573,0.62,596,71
189,Golden_18,22,301,4,574,0.49,622,76
190,Golden_18,24,301,4,574,0.47,612,80
191,Golden_18,26,301,4,574,1.32,594,84
192,Golden_18,28,301,4,563,1.47,538,90
193,Golden_18,31,301,4,561,1.61,578,88
194,Golden_18,34,301,4,562,1.71,622,90
195,Golden_18,38,301,4,574,3.72,680,92
196,Golden_18,43,301,4,580,3.90,710,99
197,Golden_18,51,301,4,582,7.43,826,111
198,Golden_18,61,301,4,580,8.03,884,104
199,Golden_19,25,361,10,916,0.57,822,87
200,Golden_19,26,361,10,916,0.52,920,92
201,Golden_19,28,361,4,799,3.08,739,99
202,Golden_19,31,361,4,798,9.53,775,110
203,Golden_19,33,361,4,786,15.18,779,113
204,Golden_19,37,361,5,785,10.87,876,120
205,Golden_19,41,361,5,776,10.52,952,124
206,Golden_19,46,361,5,769,66.64,1042,124
207,Golden_19,52,361,5,781,111.81,1091,122
208,Golden_19,61,361,5,788,23.87,1045,121
209,Golden_19,73,361,5,791,27.17,1141,127
210,Golden_20,29,421,11,1189,0.84,1118,118
211,Golden_20,31,421,12,1201,0.87,1109,120
212,Golden_20,33,421,12,1175,1.20,1163,128
213,Golden_20,36,421,5,1035,13.39,1073,130
214,Golden_20,39,421,5,1024,8.50,1103,135
215,Golden_20,43,421,5,1025,8.85,1199,143
216,Golden_20,47,421,5,1025,8.35,1087,151
217,Golden_20,53,421,5,1031,32.46,1201,157
218,Golden_20,61,421,5,1031,24.53,1337,149
219,Golden_20,71,421,5,1031,24.92,1436,144
220,Golden_20,85,421,5,1020,42.39,1597,157
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,Error2
